school_name,school_type,address,homepage
서울고등학교,고등학교,서울특별시 서초구 효령로 197,http://seoul.sen.hs.kr
서울공업고등학교,고등학교,서울특별시 동작구 대방동1길 46,http://seoul-th.sen.hs.kr
서울공연예술고등학교,고등학교,서울특별시 구로구 오리로22나길 16-26,http://sopa.hs.kr
서울과학고등학교,고등학교,서울특별시 종로구 혜화로 63,http://www.sshs.hs.kr
서울관광고등학교,고등학교,서울특별시 관악구 은천로15길 25,http://seoul-tour.sen.hs.kr
서울국제고등학교,고등학교,서울특별시 종로구 성균관로13길 40,http://sghs.sen.hs.kr
서울금융고등학교,고등학교,서울특별시 양천구 가로공원로61길 19,http://www.seoulfc.hs.kr
서울대학교사범대학부설고등학교,고등학교,서울특별시 성북구 월곡로 6,https://snu.sen.hs.kr/
서울도시과학기술고등학교,고등학교,서울특별시 성북구 종암로 196,http://www.sust.hs.kr
서울동구고등학교,고등학교,서울특별시 성북구 성북로8길 71,donggoo.sen.hs.kr
서울동산고등학교,고등학교,서울특별시 노원구 공릉로 257,http://seouldongsan.sen.hs.kr
서울디자인고등학교,고등학교,서울특별시 마포구 백범로 139,http://www.seodi.hs.kr
서울디지텍고등학교,고등학교,서울특별시 용산구 회나무로12길 27,http://www.sdh.hs.kr
서울로봇고등학교,고등학교,서울특별시 강남구 광평로20길 63,http://srobot.sen.hs.kr
서울매그넷고등학교,고등학교,서울특별시 금천구 탑골로10길 45,seoulmagnet.sen.hs.kr
서울문영여자고등학교,고등학교,서울특별시 관악구 관악로 85,http://www.moonyoung.seoul.kr
서울문화고등학교,고등학교,서울특별시 도봉구 마들로 598,http://seoulculture.sen.hs.kr
서울미술고등학교,고등학교,서울특별시 관악구 남부순환로247길 26,http://www.seoul-art.or.kr
서울방송고등학교,고등학교,서울특별시 성동구 동호로5길 131,https://seb.sen.hs.kr
서울세종고등학교,고등학교,서울특별시 강남구 광평로51길 36,http://www.seoulsejong.hs.kr/
서울신정고등학교,고등학교,서울특별시 강서구 등촌로13아길 20,http://shinjeong.sen.hs.kr
서울아이티고등학교,고등학교,서울특별시 노원구 섬밭로 299,http://www.seoulit.hs.kr
서울여자고등학교,고등학교,서울특별시 마포구 백범로25길 34,http://seoulgs.sen.hs.kr
서울여자상업고등학교,고등학교,서울특별시 관악구 관악로 85,http://sys.sen.hs.kr
서울영상고등학교,고등학교,서울특별시 양천구 목동로11길 46,youngsang.hs.kr
서울예술고등학교,고등학교,서울특별시 종로구 평창문화로 70,http://yego.or.kr
서울외국어고등학교,고등학교,서울특별시 도봉구 덕릉로66길 22,http://sfl.sen.hs.kr
서울웹툰애니메이션고등학교,고등학교,서울특별시 서초구 과천대로 852-23,https://swas.sen.hs.kr
서울의료보건고등학교,고등학교,서울특별시 중구 만리재로37길 30,http://smh.sen.hs.kr
서울인공지능고등학교,고등학교,서울특별시 송파구 양산로 21,https://seoulai.sen.hs.kr
서울정화고등학교,고등학교,서울특별시 동대문구 홍릉로15길 50,http://jeonghwa.sen.hs.kr
서울체육고등학교,고등학교,서울특별시 송파구 강동대로 232,http://seoul-ph.sen.hs.kr
서울컨벤션고등학교,고등학교,서울특별시 강동구 동남로 964,http://seoul-chs.sen.hs.kr
서울항공비즈니스고등학교,고등학교,서울특별시 강서구 방화대로34길 13,http://sab.sen.hs.kr
서일문화예술고등학교,고등학교,서울특별시 종로구 지봉로17길 49,http://seoil.sen.hs.kr
서초고등학교,고등학교,서울특별시 서초구 반포대로27길 29,http://seocho.sen.hs.kr
석관고등학교,고등학교,서울특별시 성북구 한천로70길 30,http://www.seokgwan.hs.kr
선덕고등학교,고등학교,서울특별시 도봉구 시루봉로 53,http://sunduck.sen.hs.kr
선린인터넷고등학교,고등학교,서울특별시 용산구 원효로97길 33-4,http://sunrint.sen.hs.kr
선사고등학교,고등학교,서울특별시 강동구 고덕로25길 17,http://www.sunsa.hs.kr
선유고등학교,고등학교,서울특별시 영등포구 선유로 227,http://seonyoo.sen.hs.kr
선일빅데이터고등학교,고등학교,서울특별시 은평구 갈현로29길 27,https://bigdata.sen.hs.kr/
선일여자고등학교,고등학교,서울특별시 은평구 갈현로29길 27,http://sunil.sen.hs.kr
선정고등학교,고등학교,서울특별시 은평구 서오릉로20길 19,http://www.sunjung.hs.kr
선정국제관광고등학교,고등학교,서울특별시 은평구 서오릉로20길 19,http://sjt.sen.hs.kr
선화예술고등학교,고등학교,서울특별시 광진구 천호대로 664,http://www.sunhwa.org
성남고등학교,고등학교,서울특별시 동작구 대방동길 74,http://www.sungnam.sen.hs.kr
성덕고등학교,고등학교,서울특별시 강동구 구천면로 396,http://ssd.hs.kr
성동고등학교,고등학교,서울특별시 중구 퇴계로90길 17,http://www.sungdong.hs.kr
성동공업고등학교,고등학교,서울특별시 중구 다산로 290,http://www.sdth.hs.kr
성동글로벌경영고등학교,고등학교,서울특별시 중구 퇴계로 375,http://sdglobal.sen.hs.kr
성보고등학교,고등학교,서울특별시 관악구 남부순환로156길 39,http://www.sungbo.hs.kr
성수고등학교,고등학교,서울특별시 성동구 서울숲길 18,http://seongsu.sen.hs.kr
성신여자고등학교,고등학교,서울특별시 성북구 동소문로26가길 80,http://www.sungshin.hs.kr
성심여자고등학교,고등학교,서울특별시 용산구 원효로19길 49,http://sacredheart.sen.hs.kr
성암국제무역고등학교,고등학교,서울특별시 강북구 도봉로29길 52,http://seongam.sen.hs.kr
세그루패션디자인고등학교,고등학교,서울특별시 도봉구 시루봉로 53,http://sfd.sen.hs.kr
세명컴퓨터고등학교,고등학교,서울특별시 은평구 통일로92가길 33,http://www.smc.hs.kr
세종과학고등학교,고등학교,서울특별시 구로구 오리로21길 79,http://www.sjsh.hs.kr
세현고등학교,고등학교,서울특별시 강서구 허준로 227,http://sehyun.hs.kr
세화고등학교,고등학교,서울특별시 서초구 신반포로 56-7,http://www.sehwa.hs.kr
세화여자고등학교,고등학교,서울특별시 서초구 신반포로 56-7,http://www.sehwa-gs.hs.kr
솔샘고등학교,고등학교,서울특별시 강북구 인수봉로 39,http://solsaem.sen.hs.kr
송곡고등학교,고등학교,서울특별시 중랑구 양원역로 50,http://sg.hs.kr
송곡관광고등학교,고등학교,서울특별시 중랑구 양원역로 67,http://www.sgi.hs.kr
송곡여자고등학교,고등학교,서울특별시 중랑구 양원역로 67,http://www.songgok.hs.kr
수도여자고등학교,고등학교,서울특별시 동작구 여의대방로10길 73,http://www.sudo-gh.hs.kr
수도전기공업고등학교,고등학교,서울특별시 강남구 개포로 410,http://sudo.sen.hs.kr
수락고등학교,고등학교,서울특별시 노원구 동일로245길 143,http://surak.sen.hs.kr
수명고등학교,고등학교,서울특별시 강서구 수명로2길 15,http://www.sumyeong.hs.kr
숙명여자고등학교,고등학교,서울특별시 강남구 남부순환로 2807,http://www.sookmyung.hs.kr
숭문고등학교,고등학교,서울특별시 마포구 숭문길 99,http://soongmoon.sen.hs.kr
숭실고등학교,고등학교,서울특별시 은평구 은평터널로7길 6,http://www.soongsil.net
숭의여자고등학교,고등학교,서울특별시 동작구 여의대방로36길 79,http://soongeui.sen.hs.kr
신광여자고등학교,고등학교,서울특별시 용산구 청파로 263,http://www.shinkwang.hs.kr
신도고등학교,고등학교,서울특별시 은평구 통일로 961,http://www.sindo.hs.kr
신도림고등학교,고등학교,서울특별시 구로구 경인로67길 159,https://shindorim.sen.hs.kr/
신림고등학교,고등학교,서울특별시 관악구 문성로 119,www.sillim.hs.kr
신목고등학교,고등학교,서울특별시 양천구 안양천로 739,http://shinmok.hs.kr
신서고등학교,고등학교,서울특별시 양천구 은행정로 42,http://sinseo.sen.hs.kr
